x_own_true,y_own_true,x_own_noise,y_own_noise,hdg_own,gs_own,x_int_true,y_int_true,x_int_noise,y_int_noise,hdg_int,gs_int,pos_ownship,pos_intruder,dx,dy,tin,tout,dcpa,is_conflict,vx_vo,vy_vo,vx_mvp,vy_mvp
0,0,5.658807266356731,9.88377615875301,0.0,20.0,77.71068094258155,-36.12788777517721,71.43761949103431,-37.11630241475587,0.0,15.0,POINT (5.658807266356731 9.88377615875301),POINT (71.43761949103431 -37.11630241475587),-65.77881222467758,47.00007857350888,9.744061320370278,16.567463569500756,47.000078573508866,True,19.962781713461453,0.4297746291253919,20.0,0.4329977157363545
0,0,-1.9812938714855124,7.287134967283587,0.0,20.0,77.71068094258155,-36.12788777517721,79.72668847016031,-36.57118842522717,0.0,15.0,POINT (-1.981293871485512 7.287134967283587),POINT (79.72668847016031 -36.57118842522717),-81.70798234164583,43.858323392510755,11.539732375300524,21.143460561357813,43.85832339251074,True,19.94063998918357,0.5415500375755018,20.0,0.5480565663164124
0,0,-0.7299867380080997,-1.3763792603125717,0.0,20.0,77.71068094258155,-36.12788777517721,81.26153763017757,-42.905945256907124,0.0,15.0,POINT (-0.7299867380080997 -1.376379260312572),POINT (81.26153763017757 -42.90594525690712),-81.99152436818567,41.52956599659455,10.8294804083321,21.967129338942165,41.529565996594556,True,19.90381854284638,0.6867724609125607,20.0,0.7002425302975521
0,0,-1.9926427183740612,-2.4782847937975467,0.0,20.0,77.71068094258155,-36.12788777517721,72.74668352063694,-39.89829229832479,0.0,15.0,POINT (-1.992642718374061 -2.478284793797547),POINT (72.74668352063694 -39.89829229832479),-74.73932623901099,37.42000750452724,8.315390480835877,21.58034001476852,37.42000750452725,True,19.772539574419987,1.0419039699967658,20.0,1.091561372881219
0,0,4.3442958849412285,7.494298685240655,0.0,20.0,77.71068094258155,-36.12788777517721,86.66401901917695,-32.02693606622961,0.0,15.0,POINT (4.344295884941229 7.494298685240655),POINT (86.66401901917695 -32.02693606622961),-82.31972313423572,39.52123475147027,10.338352398436314,22.58953685525797,39.521234751470274,True,19.865228960629487,0.8097480866291464,20.0,0.8321788071864737
0,0,-4.908144035420089,-0.720529576514805,0.0,20.0,77.71068094258155,-36.12788777517721,79.26534685190943,-31.45790897777466,0.0,15.0,POINT (-4.908144035420089 -0.720529576514805),POINT (79.26534685190943 -31.45790897777466),-84.17349088732952,30.737379401259854,8.947459097678838,24.721937257252975,30.737379401259815,True,19.62913110415117,1.310267431227696,20.0,1.4152412210281908
0,0,-8.907347549661148,-8.032940816823533,0.0,20.0,77.71068094258155,-36.12788777517721,86.34865975848359,-31.16916133739733,0.0,15.0,POINT (-8.907347549661148 -8.032940816823533),POINT (86.34865975848359 -31.16916133739733),-95.25600730814475,23.136220520573797,10.186179634191909,27.91622328906599,23.13622052057381,True,19.48439139436738,1.5205889628563973,20.0,1.6954240042097282
0,0,-2.713254997144035,1.7156435051264416,0.0,20.0,77.71068094258155,-36.12788777517721,79.47010432595596,-34.03114171427173,0.0,15.0,POINT (-2.713254997144035 1.715643505126442),POINT (79.47010432595596 -34.03114171427173),-82.18335932309999,35.74678521939818,9.444769844487803,23.428573884752197,35.74678521939816,True,19.771189834624558,1.0448429236483703,20.0,1.0949500647259294
0,0,-3.777112416254061,6.080251486740767,0.0,20.0,77.71068094258155,-36.12788777517721,84.27970093927368,-39.850092577800886,0.0,15.0,POINT (-3.777112416254061 6.080251486740767),POINT (84.27970093927368 -39.85009257780089),-88.05681335552774,45.93034406454166,13.659636495810366,21.563088846400735,45.93034406454161,True,19.97102845190674,0.3794975492244683,20.0,0.3817092910410768
0,0,-0.3187353654643696,-3.5125555081402404,0.0,20.0,77.71068094258155,-36.12788777517721,71.82902132880653,-34.588766959895864,0.0,15.0,POINT (-0.3187353654643696 -3.51255550814024),POINT (71.82902132880653 -34.58876695989586),-72.1477566942709,31.076211451755622,6.595601934356412,22.263500743351948,31.076211451755608,True,19.489526201808385,1.5138644233609255,20.0,1.6859957546869198
0,0,-3.332265503634095,-9.158841124439986,0.0,20.0,77.71068094258155,-36.12788777517721,85.2450928292642,-38.602228917782845,0.0,15.0,POINT (-3.332265503634095 -9.158841124439986),POINT (85.24509282926419 -38.60222891778285),-88.57735833289829,29.443387793342858,9.63317764755058,25.79776568560873,29.443387793342847,True,19.62757857997636,1.3127868776102947,20.0,1.418438233864634
0,0,6.311113823397252,4.235286083417567,0.0,20.0,77.71068094258155,-36.12788777517721,79.55517754744513,-37.44395792613926,0.0,15.0,POINT (6.311113823397252 4.235286083417567),POINT (79.55517754744513 -37.44395792613926),-73.24406372404788,41.67924400955683,9.124898846886033,20.172726642733117,41.679244009556825,True,19.880532955984503,0.7635855194224748,20.0,0.782276778283167
0,0,5.543150468409344,-7.875328588089749,0.0,20.0,77.71068094258155,-36.12788777517721,71.54232409076316,-29.246867995436187,0.0,15.0,POINT (5.543150468409344 -7.875328588089749),POINT (71.54232409076316 -29.24686799543619),-65.99917362235382,21.37153940734644,4.159353977607267,22.240315471334263,21.37153940734639,True,18.655289812115075,2.2170488154353105,20.0,3.032658050925448
0,0,11.681265918404845,1.9026917698793224,0.0,20.0,77.71068094258155,-36.12788777517721,80.85843536246563,-31.747971762473334,0.0,15.0,POINT (11.68126591840485 1.902691769879322),POINT (80.85843536246563 -31.74797176247333),-69.17716944406078,33.65066353235266,6.439129828452305,21.231737949172008,33.65066353235266,True,19.567898679939567,1.4049181647000677,20.0,1.5378166889623912
0,0,-4.939278833606847,-2.8201013223948435,0.0,20.0,77.71068094258155,-36.12788777517721,75.9443793125928,-34.172214264866426,0.0,15.0,POINT (-4.939278833606847 -2.820101322394843),POINT (75.9443793125928 -34.17221426486643),-80.88365814619965,31.35211294247158,8.386879219745877,23.966584038733984,31.352112942471546,True,19.617513565253795,1.3289606092605486,20.0,1.4390435355304758
0,0,-2.8554270722550537,0.9113955019135885,0.0,20.0,77.71068094258155,-36.12788777517721,83.70284307379465,-28.906192899173156,0.0,15.0,POINT (-2.855427072255054 0.9113955019135885),POINT (83.70284307379465 -28.90619289917316),-86.55827014604971,29.817588401086745,9.284421823914327,25.33888623450556,29.81758840108672,True,19.620868856747105,1.3235993700815332,20.0,1.4321975056150915
